variedad;codigo;planta_bulk;fecha_ciclado;Ciclado;fecha_vidrio;SSR;1;2;3;4;5;5_1;6;7;8;1b9;1_1;1_2;2_1;9;10;11;12;13;14
NA 84-3013;121;P9;17/2/2025;;18/2/2025;NKS26;0;0;0;1;0;;1;0;;;;;;;;;;;
Co 419;122;B1;17/2/2025;;18/2/2025;NKS26;0;0;1;0;0;;1;0;;;;;;;;;;;
Co 419;122;B1;17/2/2025;;18/2/2025;NKS26;0;0;1;0;0;;1;0;;;;;;;;;;;
LCP 85-384;125;P19;17/2/2025;;18/2/2025;NKS26;1;1;1;1;0;;1;0;;;;;;;;;;;
LCP 85-384;125;P8;17/2/2025;;18/2/2025;NKS26;1;1;1;1;0;;1;0;;;;;;;;;;;
LCP 85-384;125;P7;17/2/2025;;18/2/2025;NKS26;1;1;1;1;0;;1;0;;;;;;;;;;;
LCP 85-384;125;P1;17/2/2025;;18/2/2025;NKS26;1;1;1;1;0;;1;0;;;;;;;;;;;
TUC 77-42;130;P5;17/2/2025;;5/3/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
TUC 77-42;130;P5;17/2/2025;;18/2/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
TUC 77-42;130;B3;17/2/2025;;18/2/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
TUC 77-42;130;B2;17/2/2025;;18/2/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
CP 70-1133;131;B1;17/2/2025;;18/2/2025;NKS26;0;0;1;0;1;;1;0;;;;;;;;;;;
CP 70-1133;131;B3;17/2/2025;;18/2/2025;NKS26;0;0;1;0;1;;1;0;;;;;;;;;;;
CP 70-1133;131;B2;17/2/2025;;18/2/2025;NKS26;0;0;1;0;1;;1;0;;;;;;;;;;;
FAM 83-264;141;B1;17/2/2025;;18/2/2025;NKS26;0;0;1;0;0;;1;0;;;;;;;;;;;
FAM 83-264;141;B1;17/2/2025;;18/2/2025;NKS26;0;0;1;0;0;;1;0;;;;;;;;;;;
NA 88-1723;133;B1;28/2/2025;;5/3/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
NA 88-1723;133;B2;28/2/2025;;5/3/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
NA 88-1723;133;P6;28/2/2025;;5/3/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
NA 04-1754;134;B2;28/2/2025;;5/3/2025;NKS26;0;0;1;0;0;;1;0;;;;;;;;;;;
NA 04-1754;134;B1;28/2/2025;;5/3/2025;NKS26;0;0;1;0;0;;1;0;;;;;;;;;;;
NA 90-1015;135;B1;28/2/2025;;5/3/2025;NKS26;0;1;1;1;1;;1;0;;;;;;;;;;;
FAM 87-101;137;B1;28/2/2025;;5/3/2025;NKS26;0;0;1;0;0;;1;0;;;;;;;;;;;
FAM 87-101;137;B3;28/2/2025;;5/3/2025;NKS26;0;0;1;0;0;;1;0;;;;;;;;;;;
FAM 87-101;137;P7;28/2/2025;;5/3/2025;NKS26;0;0;1;0;0;;1;0;;;;;;;;;;;
TUC 69-2;139;P8;28/2/2025;;5/3/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
TUC 69-2;139;B2;28/2/2025;;5/3/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
FAM 83-264;141;P7;28/2/2025;;5/3/2025;NKS26;0;0;1;0;0;;1;0;;;;;;;;;;;
NA 86-1644;142;B1;28/2/2025;;5/3/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
NA 86-1644;142;B2;28/2/2025;;5/3/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
SP 83-2847;143;B1;28/2/2025;;5/3/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
SP 83-2847;143;B2;28/2/2025;;5/3/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
SP 70-1284;144;B2;28/2/2025;;5/3/2025;NKS26;0;0;1;1;0;;1;0;;;;;;;;;;;
SP 70-1284;144;B2;28/2/2025;;5/3/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
SP 70-1284;144;P7;28/2/2025;;5/3/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
SP 70-1284;144;B2;28/2/2025;;5/3/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
L 98-209;145;B2;28/2/2025;;5/3/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
L 98-209;145;P7;28/2/2025;;5/3/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
NA 73-1454;150;P9;28/2/2025;;5/3/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
NA 73-1454;150;B2;28/2/2025;;5/3/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
R570;151;B1;28/2/2025;;5/3/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
SP 70-1143;157;B1;28/2/2025;;5/3/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
NA 85-1602;106;B1;24/4/2025;DUDA DE SIEMBRA;8/5/2025;mSSCIR1;0;1;1;0;1;;0;1;0;;0;0;0;0;0;0;0;0;0
NA 03-559;100;B1;5/5/2025;;6/5/2025;mSSCIR1;0;0;1;0;0;;0;1;1;;0;0;0;0;0;0;1;0;0
NA 03-559;100;B2;5/5/2025;;6/5/2025;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;0;1;0;0
NA 07-493;101;B1;5/5/2025;;6/5/2025;mSSCIR1;0;0;0;0;0;;1;1;1;;0;0;0;0;0;0;1;0;0
NA 07-493;101;P7;5/5/2025;;6/5/2025;mSSCIR1;0;0;1;0;0;;1;1;1;;0;0;0;0;0;0;1;0;0
NA 07-493;101;B2;5/5/2025;;6/5/2025;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;0;1;0;0
NA 12-1621;102;B1;5/5/2025;;8/5/2025;mSSCIR1;0;0;1;0;0;;0;1;1;;0;0;0;0;0;1;0;0;0
