variedad,codigo,planta_bulk,fecha ciclado,fecha vidrio,SSR,1,2,3,4,5,6,7,8,1B/9,,
QAB 016,158,P12,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
QAB 016,158,P13,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
QAB 016,158,P14,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
QAB 016,158,P15,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
QAB 016,158,P16,28/8/24,2/9/2024,NKS26,0,0,0,0,0,1,0,,,,
NA 18-2762,159,P1,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P2,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P3,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P4,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P5,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P6,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P7,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P8,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P9,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P10,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P11,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P12,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P13,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P14,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P15,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P16,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P17,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P18,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
