variedad;codigo;planta_bulk;fecha ciclado;Ciclado;fecha vidrio;SSR;1;2;3;4;5;20;6;7;8;24;21;22;23;9;10;11;12;13;14
LCP 85-384;125;B1;11/02/25;;12/02/25;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
LCP 85-384;125;P6;11/02/25;;12/02/25;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
LCP 85-384;125;P7;11/02/25;;12/02/25;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
TUC 77-42;130;B1;04/02/25;;06/02/25;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
TUC 77-42;130;B2;04/02/25;;06/02/25;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
TUC 77-42;130;B2;11/02/25;;12/02/25;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
TUC 77-42;130;B3;11/02/25;;12/02/25;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
CP 70-1133;131;B1;04/02/25;;06/02/25;NKS22;0;1;0;0;0;;0;0;0;0;;;;;;;;;
CP 70-1133;131;B1;04/02/25;;06/02/25;NKS22;0;1;0;0;0;;0;0;0;0;;;;;;;;;
CP 70-1133;131;B2;04/02/25;;06/02/25;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
CP 70-1133;131;B3;13/02/25;;17/02/25;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 88-1723;133;B1;04/02/25;;06/02/25;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 88-1723;133;B2;04/02/25;;06/02/25;NKS22;1;1;0;0;0;;0;0;0;0;;;;;;;;;
NA 88-1723;133;P8;19/02/25;;24/02/25;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 88-1723;133;P7;19/02/25;;24/02/25;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 04-1754;134;B1;04/02/25;;06/02/25;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 04-1754;134;P8;19/02/25;;24/02/25;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 04-1754;134;P3;19/02/25;;24/02/25;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 90-1015;135;B1;04/02/25;;06/02/25;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
FAM 87-101;137;B1;04/02/25;;06/02/25;NKS22;1;1;0;0;0;;0;0;0;0;;;;;;;;;
TUC 69-2;139;B1;04/02/25;;06/02/25;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
TUC 69-2;139;P8;19/02/25;;24/02/25;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
TUC 69-2;139;P8;19/02/25;;24/02/25;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
FAM 83-264;141;B1;04/02/25;;06/02/25;NKS22;1;1;0;1;1;;0;0;0;0;;;;;;;;;
FAM 83-264;141;P6;19/02/25;;24/02/25;NKS22;1;1;0;1;1;;0;0;0;0;;;;;;;;;
FAM 83-264;141;P7;19/02/25;;24/02/25;NKS22;1;1;0;1;1;;1;0;0;0;;;;;;;;;
NA 86-1644;142;B1;04/02/25;;06/02/25;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 86-1644;142;P8;19/02/25;;24/02/25;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 86-1644;142;P7;19/02/25;;24/02/25;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
SP 83-2847;143;B1;04/02/25;;06/02/25;NKS22;1;1;0;1;0;;0;1;0;0;;;;;;;;;
SP 83-2847;143;P4;19/02/25;;24/02/25;NKS22;1;1;1;1;0;;0;1;0;0;;;;;;;;;
SP 83-2847;143;P8;19/02/25;;24/02/25;NKS22;1;1;1;1;0;;0;1;0;0;;;;;;;;;
SP 83-2847;143;P7;19/02/25;;24/02/25;NKS22;1;1;1;1;0;;0;1;0;0;;;;;;;;;
SP 70-1284;144;B1;04/02/25;;06/02/25;NKS22;1;1;0;1;0;;0;1;0;0;;;;;;;;;
SP 70-1284;144;P9;19/02/25;;24/02/25;NKS22;1;1;0;1;0;;0;1;0;0;;;;;;;;;
L 98-209;145;B1;04/02/25;;06/02/25;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
L 98-209;145;P8;19/02/25;;24/02/25;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
L 98-209;145;P7;19/02/25;;24/02/25;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
TUC 00-19;146;B1;04/02/25;;06/02/25;NKS22;0;1;0;1;0;;0;0;0;0;;;;;;;;;
TUC 06-7;147;P1;04/02/25;;06/02/25;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
